one two three
0.279 0.288 0.497
3.219 3.247 3.786
1.829 2.084 2.348
2.375 2.402 2.898
3.347 3.376 3.922
1.233 1.255 1.674
1.179 1.201 1.609
0.812 0.830 1.187
3.878 4.204 4.522
2.251 2.277 2.762
4.571 4.895 5.223
3.192 3.221 3.751
3.698 4.004 4.318
0.121 0.177 0.253
3.210 3.502 3.803
2.833 3.114 3.404
2.772 3.065 3.353
2.952 2.980 3.498
3.259 3.552 3.855
2.595 2.622 3.129
3.607 3.637 4.196
0.984 1.004 1.391
1.522 1.774 2.027
3.177 3.482 3.782
3.086 3.115 3.639
0.234 0.332 0.448
2.462 2.489 2.983
1.051 1.262 1.488
2.606 2.894 3.177
1.806 1.831 2.299
1.300 1.528 1.770
2.537 2.773 3.280
0.164 0.249 0.346
4.036 4.064 4.636
3.168 3.504 3.716
2.544 2.774 2.974
2.054 2.317 2.586
1.172 1.392 1.583
2.481 2.517 3.104
2.254 2.332 2.743
2.308 2.577 2.852
2.178 2.253 2.711
2.855 3.190 3.416
3.916 4.242 4.560
2.795 2.822 3.338
1.853 2.108 2.372
3.074 3.102 3.633
5.087 5.120 5.718
1.374 1.618 1.864
2.407 2.719 3.083
5.780 5.813 6.442
3.774 4.154 4.471
1.748 1.965 2.345
1.232 1.294 1.718
0.679 0.859 1.051
0.852 0.871 1.231
2.120 2.445 2.717
0.786 0.962 1.203
1.119 1.346 1.577
0.339 0.473 0.561
3.249 3.278 3.811
3.360 3.670 3.975
0.325 0.445 0.583
2.713 2.741 3.246
1.977 2.002 2.480
0.431 0.443 0.708
1.780 1.805 2.266
4.026 4.056 4.632
4.827 5.186 5.496
2.610 2.899 3.179
0.787 0.796 1.146
2.639 2.957 3.236
1.051 1.319 1.588
4.065 4.093 4.673
1.281 1.511 1.753
0.916 0.935 1.291
1.151 1.398 1.584
0.219 0.321 0.420
1.074 1.094 1.495
2.577 2.604 3.109
3.706 4.027 4.341
0.557 0.720 0.897
2.042 2.304 2.573
2.983 3.011 3.530
3.379 3.690 3.996
3.017 3.045 3.572
0.556 0.711 0.887
3.354 3.664 3.969
4.130 4.161 4.740
3.735 4.043 4.358
0.404 0.535 0.687
0.508 0.657 0.826
4.238 4.269 4.845
1.072 1.092 1.492
1.175 1.196 1.609
3.589 3.892 4.204
1.051 1.071 1.468
3.774 4.082 4.398
2.064 2.089 2.572
2.962 3.260 3.554
3.248 3.276 3.816
0.413 0.545 0.699
5.413 5.446 6.045
4.142 4.459 4.781
0.007 2.536 10.87
4.433 4.465 5.053
0.857 1.050 1.261
1.229 1.250 1.669
1.755 2.019 2.280
1.254 1.276 1.692
2.601 2.628 3.135
2.783 2.810 3.326
1.702 1.952 2.211
4.743 4.776 5.363
0.631 0.796 0.982
3.963 4.276 4.595
3.599 3.902 4.214
4.851 5.178 5.508
1.029 1.050 1.438
2.764 3.056 3.344
4.067 4.098 4.668
0.608 0.778 0.962
2.533 2.820 3.101
3.835 4.480 4.803
4.197 4.300 4.725
2.277 2.331 2.656
4.147 4.178 4.432
4.185 4.830 5.158
4.058 4.630 4.955
3.241 3.270 3.498
4.731 5.406 5.736
3.669 3.699 3.943
2.939 2.967 3.490
2.397 2.668 2.946
1.548 1.801 2.055
2.585 2.873 3.156
1.992 2.264 2.532
4.364 4.396 4.975
3.527 3.828 4.138
4.424 4.746 5.072
0.609 0.772 0.955
5.950 5.983 6.568
4.151 4.183 4.755
3.657 3.976 4.289
3.195 3.224 3.761
0.683 0.931 1.131
3.450 3.788 4.132
4.268 4.384 4.912
4.362 4.683 5.009
5.574 6.045 6.373
3.826 3.866 4.398
0.468 0.674 0.845
3.047 3.084 3.592
0.329 0.499 0.630
0.803 0.852 1.200
1.066 1.358 1.590
3.948 4.306 4.610
3.540 3.877 4.162
5.197 5.671 6.001
4.568 4.907 5.235
1.349 1.371 1.802
0.855 0.873 1.238
1.139 1.367 1.600
0.846 0.864 1.223
0.483 0.635 0.801
0.149 0.219 0.307
3.536 3.838 4.149
2.310 2.337 2.831
5.076 5.109 5.699
2.085 2.111 2.589
3.766 3.796 4.362
2.292 2.573 2.848
3.369 3.399 3.938
0.630 0.796 0.982
0.914 1.122 1.338
