one two three
4.805 5.409 5.740
4.105 4.149 4.548
3.032 3.575 3.884
1.358 1.801 2.047
2.011 2.303 2.558
0.005 0.005 0.006
0.536 0.786 0.969
7.482 7.964 8.243
9.219 9.244 9.672
8.949 9.210 9.453
10.62 10.64 11.01
6.658 6.991 7.302
3.408 3.438 3.986
5.192 5.225 5.824
9.828 10.06 10.29
10.87 10.89 11.26
9.073 9.319 9.559
10.43 10.65 10.86
10.23 10.45 10.67
5.611 5.644 6.235
6.823 7.138 7.446
9.785 10.02 10.24
8.689 8.947 9.198
9.516 9.540 9.954
9.001 9.250 9.491
8.979 9.228 9.470
6.659 6.992 7.302
1.943 1.969 2.439
1.636 1.894 2.151
0.144 0.212 0.298
1.390 1.624 1.870
2.399 2.425 2.923
2.135 2.411 2.683
4.762 5.104 5.433
2.088 2.114 2.592
2.185 2.211 2.700
3.641 3.670 4.231
5.014 5.357 5.688
4.260 4.292 4.875
3.807 4.117 4.433
6.498 6.834 7.149
9.653 9.676 10.09
12.47 12.68 12.88
14.67 14.69 15.05
13.55 13.57 13.94
16.06 16.27 16.48
15.03 15.05 15.41
15.32 15.53 15.74
18.36 18.65 18.94
16.35 16.37 16.77
16.39 16.41 16.81
18.67 18.96 19.26
17.71 17.73 18.19
17.66 17.91 18.18
18.52 18.55 19.07
21.0 21.1 21.8
16.48 16.50 16.90
15.71 15.73 16.11
16.19 16.21 16.60
16.49 16.71 16.93
17.06 17.09 17.51
16.24 16.45 16.67
16.98 17.01 17.43
12.06 12.27 12.47
11.91 12.11 12.31
14.43 14.45 14.81
13.87 14.08 14.28
12.91 13.12 13.32
15.70 15.92 16.13
14.53 14.74 14.94
10.14 10.16 10.55
12.53 12.74 12.94
12.05 12.07 12.43
11.20 11.22 11.59
8.922 9.184 9.428
8.753 8.778 9.236
7.083 7.392 7.692
3.088 3.389 3.687
3.480 3.794 4.103
5.452 5.485 6.077
3.708 4.015 4.330
0.436 0.579 0.737
6.594 6.913 7.227
5.225 5.571 5.901
4.474 4.506 5.095
1.776 1.801 2.268
0.993 1.013 1.396
4.070 4.101 4.678
5.975 6.008 6.593
8.403 8.430 8.907
7.279 7.596 7.889
1.785 1.809 2.277
3.435 3.464 4.007
6.059 6.387 6.711
9.686 9.916 10.15
9.651 9.882 10.12
7.828 8.127 8.403
4.443 4.474 5.063
3.388 3.699 4.005
5.541 5.887 6.216
1.720 1.982 2.242
7.587 7.617 8.135
6.584 6.918 7.231
5.208 5.553 5.884
6.019 6.362 6.686
1.362 1.595 1.840
6.613 6.947 7.259
3.994 4.025 4.599
1.022 1.042 1.435
0.368 0.497 0.644
2.264 2.291 2.776
4.476 4.508 5.089
5.097 5.130 5.721
7.028 7.059 7.607
7.861 7.890 8.392
6.502 6.534 7.105
2.379 2.661 2.939
5.017 5.050 5.640
0.008 3.858 12.03
4.837 4.870 5.458
5.532 5.863 6.193
4.877 4.909 5.506
4.102 4.418 4.740
3.634 3.939 4.251
6.677 6.995 7.306
3.864 4.175 4.493
4.855 5.197 5.527
4.755 4.788 5.375
4.607 4.932 5.260
7.092 7.123 7.668
3.840 3.870 4.432
6.398 6.431 7.005
4.110 4.141 4.713
5.181 5.214 5.806
2.332 2.614 2.890
1.655 1.903 2.160
2.935 2.963 3.486
4.522 4.860 5.187
5.510 5.855 6.185
4.574 4.606 5.190
5.171 5.501 5.832
3.160 3.189 3.717
3.339 3.635 3.940
2.284 2.311 2.797
3.685 3.991 4.305
1.916 2.174 2.440
3.669 3.989 4.302
1.306 1.546 1.788
1.027 1.246 1.471
1.006 1.026 1.411
2.012 2.273 2.541
4.008 4.322 4.643
0.591 0.759 0.941
1.230 1.252 1.665
2.876 3.159 3.450
2.761 3.054 3.341
1.555 1.579 2.023
4.063 4.093 4.671
7.151 7.471 7.769
2.791 2.818 3.334
6.910 6.942 7.502
0.697 0.879 1.073
4.098 4.428 4.750
0.611 0.781 0.965
3.301 3.330 3.873
1.236 1.257 1.677
10.90 11.11 11.32
10.43 10.66 10.87
9.958 9.980 10.39
8.850 9.103 9.349
1.823 2.089 2.352
0.647 0.961 1.163
1.610 1.618 2.053
0.590 0.805 1.038
3.827 3.879 4.438
3.623 4.153 4.470
1.226 1.232 1.591
4.218 4.740 5.066
1.270 1.276 1.641
1.522 1.551 2.001
2.303 2.864 3.146
1.944 2.030 2.438
1.213 1.496 1.796
3.055 3.355 3.633
6.439 6.913 7.227
4.477 4.800 5.127
2.471 2.756 3.036
0.401 0.530 0.682
6.441 6.473 7.052
6.164 6.505 6.827
0.587 0.755 0.936
2.590 2.878 3.160
1.532 1.784 2.037
0.411 0.549 0.703
4.437 4.468 5.057
3.516 3.545 4.099
7.290 7.593 7.887
5.740 6.070 6.398
1.569 1.593 2.039
4.842 4.874 5.470
3.272 3.580 3.883
1.629 1.653 2.103
2.143 2.420 2.691
1.884 1.910 2.377
1.426 1.449 1.882
3.829 3.860 4.421
0.495 0.648 0.816
5.747 6.077 6.405
5.105 5.449 5.780
5.053 5.086 5.684
4.092 4.408 4.730
6.862 6.894 7.449
4.145 4.469 4.834
5.454 5.780 6.116
2.501 2.675 3.004
3.433 3.745 4.053
1.273 1.297 1.536
6.343 6.684 6.999
0.422 0.570 0.739
4.868 4.921 5.466
5.381 5.664 6.002
2.320 2.608 2.890
1.417 1.663 1.911
3.614 3.644 4.203
1.253 1.479 1.717
8.095 8.123 8.618
0.252 0.354 0.475
5.505 5.916 6.245
4.645 5.083 5.359
0.752 0.987 1.189
3.654 4.038 4.324
2.669 3.018 3.257
3.499 3.846 4.157
1.693 2.050 2.323
3.510 3.554 4.127
5.717 6.114 6.442
5.310 5.791 6.102
1.362 1.674 1.948
0.460 0.657 0.856
3.769 3.812 4.361
1.510 1.857 2.113
1.349 1.580 1.824
3.464 3.764 4.072
3.637 3.667 4.220
2.267 2.293 2.779
3.069 3.357 3.654
1.565 1.588 2.039
3.259 3.552 3.855
3.160 3.189 3.717
1.518 1.541 1.988
2.960 2.988 3.513
3.985 4.313 4.632
4.837 4.869 5.465
1.813 1.838 2.307
6.037 6.070 6.661
6.340 6.664 6.983
8.572 8.833 9.087
8.026 8.305 8.576
6.074 6.416 6.739
3.101 3.404 3.701
4.253 4.285 4.861
1.902 2.160 2.425
4.001 4.032 4.607
1.289 1.311 1.731
0.450 0.588 0.748
2.743 3.035 3.322
5.394 5.427 6.026
2.221 2.500 2.773
2.202 2.228 2.717
0.260 0.448 0.577
0.325 0.524 0.675
4.437 4.795 5.069
2.746 3.009 3.233
4.663 4.838 5.429
4.389 4.779 5.063
4.365 4.707 4.956
3.615 3.694 4.264
0.443 0.587 0.693
1.525 1.580 1.978
1.237 1.463 1.686
2.398 2.693 2.866
3.150 3.268 3.838
1.035 1.245 1.471
0.576 0.698 0.916
1.989 2.225 2.386
2.746 3.100 3.324
4.591 4.860 5.031
4.759 4.791 5.386
2.948 3.233 3.526
1.640 1.700 2.128
1.644 1.681 2.133
1.799 2.053 2.315
2.928 2.956 3.479
2.048 2.171 2.657
0.705 0.880 1.075
4.508 4.846 5.173
4.126 4.157 4.729
0.535 0.695 0.869
0.780 0.797 1.143
5.935 6.264 6.589
4.915 5.258 5.588
4.400 4.736 5.062
1.682 1.706 2.166
2.598 2.874 3.157
3.185 3.213 3.750
4.780 4.813 5.400
5.889 6.219 6.545
6.831 7.146 7.454
1.527 1.551 1.999
1.385 1.630 1.876
3.530 3.845 4.155
3.514 3.544 4.091
0.673 0.844 1.035
4.146 4.463 4.786
3.737 4.044 4.359
2.581 2.608 3.113
1.778 2.031 2.293
2.557 2.874 3.145
2.765 3.170 3.461
3.172 3.221 3.709
3.977 4.290 4.610
4.304 4.796 5.123
3.048 3.417 3.679
4.317 4.407 5.013
3.409 3.710 4.036
6.497 7.024 7.334
6.422 6.464 7.022
5.877 6.230 6.539
4.672 5.141 5.471
6.132 6.165 6.688
5.048 5.464 5.795
0.770 0.787 1.132
2.263 2.531 2.805
3.078 3.513 3.814
3.805 3.898 4.477
4.063 4.527 4.778
3.979 4.504 4.827
5.285 5.287 5.874
0.399 0.644 0.811
1.699 1.731 2.144
1.486 1.886 2.143
1.223 1.637 1.884
0.093 0.149 0.213
0.428 0.655 0.824
2.757 3.217 3.510
0.421 0.555 0.710
4.906 5.249 5.579
3.300 3.329 3.865
1.994 2.266 2.534
3.938 4.265 4.584
4.540 4.878 5.206
3.937 3.968 4.541
6.396 6.720 7.037
4.068 4.398 4.719
1.027 1.236 1.461
4.879 5.206 5.537
7.503 7.813 8.100
3.682 3.712 4.267
4.400 4.721 5.047
4.565 4.889 5.217
6.499 6.531 7.108
5.996 6.324 6.649
4.977 5.009 5.607
5.157 5.189 5.788
1.898 2.155 2.420
0.755 1.044 1.254
0.990 1.021 1.413
2.829 3.203 3.483
1.741 2.042 2.274
1.284 1.630 1.882
0.272 0.382 0.501
1.633 1.960 2.185
0.332 0.472 0.615
0.375 0.566 0.723
0.503 0.659 0.817
1.878 2.175 2.451
1.455 1.797 2.032
1.619 1.645 2.090
4.353 4.759 5.086
2.701 3.072 3.375
0.692 0.702 1.066
0.906 1.180 1.401
0.691 0.864 1.058
2.933 3.217 3.510
2.739 3.018 3.305
1.067 1.279 1.507
1.677 1.701 2.161
3.379 3.408 3.955
2.345 2.372 2.867
5.719 6.049 6.377
6.772 6.804 7.370
6.378 6.410 6.992
3.292 3.321 3.863
4.986 5.329 5.660
1.119 1.346 1.578
2.347 2.374 2.863
3.030 3.317 3.613
0.793 0.987 1.193
1.698 1.722 2.178
6.255 6.581 6.901
4.152 4.483 4.806
1.483 1.507 1.951
7.028 7.338 7.640
2.861 3.143 3.434
1.761 2.014 2.275
1.581 1.605 2.052
2.512 2.539 3.041
1.014 1.221 1.445
3.216 3.509 3.810
2.733 2.760 3.273
5.235 5.267 5.867
6.892 6.924 7.485
5.058 5.402 5.733
3.977 4.008 4.582
1.119 1.336 1.567
3.235 3.541 3.843
0.571 0.736 0.914
0.516 0.672 0.843
4.086 4.118 4.688
2.096 2.359 2.630
4.089 4.419 4.740
4.961 4.994 5.584
3.697 3.727 4.290
2.488 2.774 3.053
4.799 5.141 5.470
3.069 3.097 3.621
3.758 4.385 4.707
1.604 2.044 2.273
3.610 4.180 4.491
4.113 4.541 4.838
3.019 3.449 3.724
2.161 2.213 2.511
2.184 2.263 2.615
3.419 3.457 3.847
0.989 1.012 1.401
1.565 1.821 2.076
4.312 4.647 4.972
5.193 5.226 5.818
1.684 1.940 2.261
0.835 1.026 1.182
3.262 3.291 3.825
2.151 2.428 2.699
5.589 5.934 6.263
4.327 4.662 4.987
0.270 0.377 0.502
3.975 4.006 4.580
3.262 3.291 3.832
0.723 0.901 1.098
1.539 1.887 2.144
2.969 2.986 3.507
2.622 3.003 3.336
4.053 4.473 4.828
1.976 2.353 2.645
0.925 1.320 1.550
1.940 1.958 2.419
0.190 0.325 0.430
1.274 1.657 1.915
1.339 1.757 2.014
2.181 2.648 2.911
1.677 2.164 2.429
4.350 4.505 4.881
3.524 3.986 4.347
2.955 3.551 3.853
3.773 3.804 4.051
1.125 1.352 1.584
4.004 4.035 4.610
3.463 3.776 4.085
1.814 1.839 2.308
0.674 0.845 1.036
2.933 2.961 3.484
4.620 4.944 5.273
4.648 4.680 5.273
4.490 4.827 5.154
4.583 4.616 5.200
4.517 4.549 5.132
2.618 2.645 3.152
5.798 6.128 6.456
4.886 5.214 5.544
0.470 0.484 0.757
1.303 1.542 1.784
2.431 2.458 2.950
1.149 1.367 1.600
2.361 2.643 2.920
0.875 1.079 1.292
1.055 1.075 1.473
2.991 3.019 3.538
2.530 2.804 3.085
2.606 2.882 3.165
2.642 2.932 3.216
2.874 2.902 3.415
2.535 2.809 3.090
0.510 0.665 0.835
1.716 1.741 2.197
4.173 4.491 4.814
2.870 2.898 3.411
1.850 1.875 2.340
2.148 2.174 2.661
0.902 0.921 1.290
2.180 2.446 2.719
4.922 4.954 5.552
4.026 4.056 4.632
5.077 5.110 5.701
4.530 4.868 5.196
4.150 4.181 4.761
4.547 4.579 5.170
4.266 4.600 4.924
2.140 2.166 2.652
0.521 0.679 0.850
3.160 3.191 3.579
3.238 3.551 3.906
4.097 4.241 4.806
5.650 6.314 6.639
5.289 5.858 6.188
1.230 1.577 1.820
5.709 5.947 6.471
0.735 0.981 1.186
3.005 3.010 3.430
7.125 7.585 7.808
2.453 2.897 3.180
4.626 5.131 5.514
2.450 2.540 2.997
3.266 3.578 3.869
3.579 3.938 4.133
4.877 4.909 5.486
3.493 3.794 4.103
3.622 4.031 4.371
4.513 4.851 5.178
3.536 3.852 4.162
3.622 3.653 4.205
6.617 6.937 7.249
5.684 6.015 6.343
3.145 3.174 3.701
5.862 6.206 6.532
4.564 4.902 5.230
0.689 0.705 1.037
0.628 0.644 0.958
1.095 1.320 1.550
1.726 1.751 2.214
1.892 2.161 2.426
2.566 2.854 3.136
5.098 5.427 5.758
3.055 3.083 3.606
2.537 2.824 3.105
1.468 1.717 1.967
6.303 6.335 6.919
4.821 4.913 5.495
3.061 3.349 3.645
2.987 3.021 3.519
5.433 5.473 6.028
0.345 0.474 0.591
0.757 0.914 1.087
0.554 0.563 0.861
0.850 0.864 1.228
1.505 1.755 2.008
2.984 3.247 3.573
3.875 3.906 4.476
0.559 0.715 0.891
3.539 3.855 4.165
7.066 7.098 7.643
3.179 3.470 3.770
4.805 5.132 5.462
4.138 4.169 4.749
2.914 3.197 3.490
2.946 3.231 3.524
1.633 1.658 2.108
2.894 2.922 3.436
4.453 4.485 5.074
4.381 4.717 5.043
2.723 2.751 3.263
4.376 4.697 5.023
3.232 3.525 3.826
4.726 4.759 5.345
5.887 6.231 6.557
2.786 2.814 3.323
2.768 3.060 3.348
0.360 0.488 0.633
2.722 2.750 3.255
0.810 1.006 1.213
2.198 2.477 2.750
1.392 1.415 1.845
1.459 1.482 1.924
0.640 0.806 0.993
0.003 1.682 9.735
5.440 5.771 6.101
6.871 7.199 7.504
1.456 1.480 1.916
2.038 2.300 2.569
1.110 1.131 1.531
2.191 2.457 2.730
4.828 5.155 5.485
3.095 3.398 3.695
3.849 3.880 4.442
0.549 0.704 0.879
0.792 0.809 1.163
5.530 5.861 6.190
0.904 1.111 1.327
2.962 2.990 3.508
5.433 5.764 6.094
5.007 5.350 5.681
5.534 5.880 6.209
5.572 5.605 6.204
1.201 1.223 1.639
5.860 6.190 6.516
3.870 4.181 4.498
4.388 4.709 5.035
3.914 3.945 4.509
7.307 7.338 7.871
5.322 5.653 5.984
6.579 6.612 7.179
3.232 3.538 3.840
4.407 4.743 5.070
0.342 0.466 0.607
0.634 0.800 0.987
1.994 2.266 2.534
0.745 0.933 1.133
3.891 3.922 4.493
2.380 2.650 2.928
0.534 0.686 0.858
3.143 3.447 3.746
1.589 1.845 2.100
1.627 1.651 2.101
1.743 1.768 2.226
5.136 5.465 5.796
3.100 3.389 3.687
6.148 6.489 6.811
3.884 4.210 4.528
2.735 2.762 3.275
2.371 2.654 2.931
0.590 0.605 0.914
0.700 0.874 1.069
1.570 1.594 2.039
0.937 0.956 1.330
0.517 0.667 0.837
6.432 6.769 7.085
2.200 2.479 2.752
1.425 1.447 1.886
4.711 5.037 5.366
2.700 2.978 3.263
0.456 0.596 0.757
1.190 1.211 1.626
3.169 3.460 3.760
3.302 3.676 3.983
0.564 0.738 0.922
1.540 1.542 1.875
5.056 5.398 5.575
5.391 5.991 6.319
7.300 7.319 7.777
5.038 5.394 5.802
2.234 2.636 2.905
1.746 1.977 2.323
2.360 2.414 2.828
4.793 5.177 5.567
6.686 7.017 7.296
2.939 3.277 3.412
2.799 2.826 3.051
4.831 5.507 5.838
5.178 5.301 5.686
1.897 2.217 2.582
4.298 4.417 4.937
5.320 5.651 5.982
3.167 3.196 3.725
3.844 4.154 4.471
3.743 3.773 4.338
1.079 1.099 1.500
4.758 4.791 5.385
2.772 3.065 3.353
3.378 3.688 3.995
3.217 3.246 3.784
1.348 1.371 1.797
1.526 1.767 2.019
4.154 4.185 4.758
3.234 3.527 3.829
1.161 1.391 1.625
1.405 1.651 1.898
1.215 1.236 1.648
4.568 4.907 5.234
1.837 2.092 2.356
3.559 3.862 4.172
1.856 2.123 2.388
0.716 0.733 1.071
1.307 1.329 1.750
1.288 1.310 1.736
3.381 3.678 3.984
3.491 3.791 4.100
0.014 4.523 12.23
1.744 1.996 2.256
2.601 2.877 3.160
0.429 0.571 0.728
3.107 3.410 3.708
4.431 4.463 5.051
2.753 2.781 3.295
2.208 2.486 2.759
1.202 1.425 1.660
4.432 4.769 5.095
2.454 2.481 2.981
4.252 4.283 4.866
0.527 0.678 0.850
4.145 4.477 4.799
1.272 1.294 1.718
2.153 2.418 2.690
2.993 3.279 3.573
3.824 4.133 4.450
2.943 3.241 3.534
2.096 2.122 2.606
0.304 0.414 0.546
3.905 4.216 4.535
2.766 3.046 3.334
4.242 4.274 4.849
3.893 3.923 4.494
4.155 4.486 4.809
2.702 2.730 3.234
2.342 2.369 2.864
0.541 0.702 0.876
4.472 4.810 5.136
0.832 1.031 1.240
0.966 0.985 1.365
0.446 0.591 0.751
2.279 2.306 2.792
5.243 5.573 5.904
4.870 5.212 5.542
4.508 4.846 5.173
4.109 4.140 4.711
3.392 3.421 3.962
6.029 6.357 6.682
6.132 6.165 6.747
1.278 1.300 1.719
0.940 1.150 1.369
3.885 4.210 4.528
6.016 6.049 6.633
3.409 3.439 3.980
6.514 6.836 7.151
3.886 4.271 4.542
5.650 5.744 6.374
2.575 2.850 3.132
0.409 0.547 0.701
4.014 4.328 4.649
0.473 0.671 0.827
3.406 3.718 4.025
5.152 5.184 5.783
0.693 0.710 1.038
2.060 2.323 2.592
3.675 3.706 4.260
2.670 2.697 3.207
1.040 1.060 1.455
2.816 3.093 3.387
1.403 1.552 1.840
2.283 2.564 2.838
1.076 1.095 1.438
1.977 2.250 2.515
4.800 5.158 5.511
5.871 5.924 6.469
3.836 4.102 4.425
1.929 2.205 2.477
2.826 2.854 3.365
5.897 6.241 6.567
5.956 6.300 6.624
3.103 3.140 3.679
5.441 5.782 5.982
2.524 2.812 3.087
0.456 0.499 0.741
2.993 3.294 3.570
0.206 0.271 0.398
5.850 5.927 6.497
1.628 1.886 2.143
2.962 2.990 3.515
3.625 3.656 4.208
2.817 3.110 3.400
3.342 3.371 3.909
3.649 3.954 4.267
1.305 1.534 1.776
4.416 4.738 5.064
4.227 4.546 4.870
0.527 0.812 0.999
2.500 2.509 2.989
0.792 1.041 1.302
0.751 0.948 1.154
0.443 0.632 0.798
2.572 2.618 3.066
3.923 4.434 4.757
4.456 4.465 4.977
0.267 0.388 0.561
3.540 4.171 4.488
1.323 1.581 1.863
4.890 5.303 5.714
1.768 1.795 2.254
2.525 2.962 3.247
1.557 1.580 2.025
3.135 3.438 3.737
4.790 4.822 5.418
4.947 5.276 5.606
4.245 4.277 4.853
1.178 1.200 1.608
2.015 2.288 2.556
1.641 1.666 2.117
1.518 1.542 1.983
3.673 4.026 4.328
3.623 4.065 4.380
5.096 5.152 5.697
3.089 3.378 3.675
3.401 3.861 4.172
0.939 1.199 1.394
1.316 1.380 1.827
1.817 1.822 2.287
2.576 2.966 3.251
2.975 3.011 3.516
0.361 0.492 0.630
4.473 4.999 5.328
1.835 1.860 2.314
2.098 2.432 2.704
0.260 0.430 0.568
1.188 1.522 1.766
1.178 1.221 1.612
0.604 0.802 0.994
1.758 2.284 2.552
1.379 1.404 1.720
4.047 4.599 4.923
1.023 1.037 1.438
0.522 0.790 0.977
1.978 2.417 2.671
1.411 1.674 1.910
1.335 1.353 1.770
2.295 2.644 2.918
3.514 3.927 4.211
1.271 1.568 1.748
2.762 3.046 3.417
1.491 1.531 1.954
3.610 4.014 4.328
4.330 4.787 5.113
0.910 0.952 1.308
5.675 5.992 6.304
3.185 3.543 3.817
3.121 3.384 3.599
0.334 0.410 0.581
0.710 0.894 1.090
2.602 2.891 3.174
0.423 0.564 0.705
1.642 1.855 2.134
1.515 1.767 2.019
0.957 0.976 1.354
1.727 1.978 2.238
3.991 4.304 4.625
0.301 0.410 0.542
2.332 2.613 2.889
2.438 2.465 2.964
4.510 4.847 5.175
1.817 2.083 2.346
2.077 2.351 2.621
0.582 0.748 0.929
1.302 1.325 1.746
3.114 3.142 3.675
1.099 1.119 1.523
0.508 0.663 0.833
1.233 1.254 1.674
3.718 4.025 4.340
4.030 4.345 4.665
1.338 1.580 1.824
2.278 2.305 2.791
3.927 4.239 4.558
0.335 0.457 0.597
1.500 1.523 1.963
3.590 3.620 4.178
3.037 3.338 3.634
3.525 3.554 4.109
4.450 4.773 5.099
1.891 2.159 2.424
0.571 0.586 0.890
3.493 3.807 4.116
4.548 4.579 5.170
2.074 2.349 2.618
1.209 1.231 1.647
4.573 4.605 5.196
1.172 1.392 1.627
0.754 0.935 1.135
0.807 0.824 1.181
2.714 3.006 3.292
2.839 2.866 3.385
2.122 2.386 2.657
0.498 0.644 0.812
2.693 2.984 3.269
3.489 3.518 4.071
1.724 1.975 2.235
0.240 0.334 0.451
2.948 2.976 3.500
1.377 1.400 1.828
3.221 3.514 3.815
2.528 2.555 3.058
0.507 0.655 0.824
3.290 3.585 3.888
4.642 4.674 5.260
2.414 2.698 2.976
1.286 1.308 1.728
1.579 1.603 2.049
4.643 4.968 5.297
1.533 1.775 2.028
0.325 0.440 0.577
2.213 2.239 2.722
5.473 5.506 6.097
3.566 3.869 4.180
3.441 3.740 4.048
3.170 3.475 3.775
5.754 5.786 6.383
3.439 3.468 4.018
1.416 1.438 1.876
3.606 3.910 4.222
7.383 7.683 7.974
6.919 7.245 7.550
9.503 9.526 9.947
8.451 8.729 8.986
6.430 6.463 7.036
6.486 6.808 7.124
0.794 0.980 1.184
1.443 1.690 1.940
0.296 0.410 0.542
2.009 2.034 2.508
2.870 2.898 3.411
2.545 2.832 3.114
2.503 2.530 3.032
4.073 4.104 4.681
0.217 0.305 0.415
0.733 0.911 1.109
1.063 1.083 1.477
0.606 0.776 0.959
0.597 0.612 0.923
0.227 0.318 0.431
3.341 3.371 3.908
0.796 0.814 1.163
2.894 2.922 3.443
2.484 2.770 3.050
3.297 3.605 3.909
1.004 1.023 1.414
2.225 2.492 2.766
1.556 1.798 2.052
1.734 1.997 2.257
1.732 1.757 2.215
2.819 3.113 3.402
1.415 1.661 1.909
1.482 1.731 1.983
0.783 0.801 1.148
3.304 3.613 3.917
0.787 0.805 1.157
0.149 0.215 0.303
3.161 3.190 3.725
0.732 0.749 1.091
0.213 0.304 0.414
2.540 2.567 3.064
1.991 2.017 2.490
1.377 1.400 1.828
6.409 6.441 7.015
5.280 5.610 5.941
4.350 4.685 5.011
7.738 7.767 8.283
4.894 5.222 5.552
3.443 3.473 4.016
5.149 5.479 5.810
1.278 1.299 1.724
4.320 4.640 4.966
3.796 3.827 4.386
4.707 5.048 5.377
1.998 2.270 2.538
3.283 3.590 3.894
0.205 0.294 0.402
1.048 1.259 1.485
4.442 4.764 5.091
2.903 3.199 3.491
2.475 2.502 3.003
0.412 0.551 0.705
1.461 1.709 1.960
3.244 3.272 3.812
1.479 1.729 1.980
2.281 2.562 2.837
1.119 1.140 1.546
1.318 1.548 1.791
0.756 0.937 1.137
4.194 4.511 4.835
4.342 4.677 5.003
3.572 3.889 4.200
5.461 5.493 6.093
3.396 3.707 4.014
5.419 5.451 6.051
5.268 5.613 5.943
5.680 5.713 6.311
4.382 4.704 5.030
5.248 5.281 5.873
3.929 4.241 4.560
2.942 3.239 3.532
0.630 0.803 0.990
2.976 3.275 3.569
2.633 2.661 3.162
2.931 3.216 3.508
1.593 1.617 2.070
2.769 3.049 3.337
4.864 4.896 5.493
0.774 0.958 1.160
2.940 3.237 3.530
1.277 1.516 1.756
3.998 4.326 4.646
2.763 2.791 3.298
5.255 5.288 5.887
2.933 3.230 3.523
4.818 4.850 5.446
3.591 3.894 4.206
0.868 1.071 1.283
2.803 2.830 3.346
1.395 1.629 1.875
1.769 1.794 2.254
1.722 1.973 2.233
1.306 1.328 1.756
1.572 1.816 2.070
4.127 4.443 4.766
2.717 2.996 3.282
1.706 1.956 2.215
2.737 2.764 3.277
2.807 2.835 3.345
1.672 1.696 2.149
2.676 2.703 3.213
2.631 2.920 3.204
1.457 1.705 1.955
3.098 3.127 3.652
3.014 3.042 3.569
2.435 2.719 2.998
3.009 3.309 3.604
2.292 2.319 2.812
1.253 1.489 1.728
3.605 3.909 4.221
4.765 4.797 5.392
3.725 4.032 4.347
4.065 4.380 4.701
6.104 6.431 6.754
0.777 0.961 1.164
1.755 2.019 2.280
6.347 6.379 6.962
4.280 4.600 4.925
3.067 3.095 3.625
3.510 3.811 4.121
1.185 1.406 1.641
1.271 1.293 1.717
1.025 1.234 1.459
2.519 2.546 3.049
1.261 1.498 1.738
1.968 1.994 2.465
4.643 4.675 5.268
0.263 0.369 0.492
2.729 2.757 3.263
3.217 3.246 3.778
3.006 3.293 3.588
1.804 1.829 2.291
2.258 2.284 2.769
0.413 0.551 0.706
0.235 0.328 0.443
2.254 2.522 2.796
3.124 3.414 3.712
2.427 2.453 2.952
2.271 2.539 2.813
2.951 3.236 3.529
4.877 4.909 5.506
2.763 3.055 3.343
0.688 0.869 1.063
1.846 2.113 2.377
2.671 2.698 3.208
3.845 3.875 4.444
2.536 2.563 3.067
2.106 2.132 2.610
4.227 4.546 4.870
5.164 5.494 5.825
6.261 6.293 6.872
0.769 0.960 1.163
0.308 0.419 0.552
0.882 1.086 1.300
0.471 0.620 0.784
2.409 2.693 2.971
1.611 1.635 2.084
3.395 3.692 3.999
1.749 2.012 2.273
0.895 0.914 1.281
4.386 4.418 5.005
6.309 6.648 6.967
3.695 4.015 4.329
4.351 4.382 4.968
3.883 4.194 4.512
3.387 3.698 4.004
0.834 1.034 1.243
2.859 3.154 3.445
0.855 0.874 1.234
1.721 1.746 2.209
0.451 0.589 0.750
2.964 2.992 3.517
3.329 3.624 3.929
4.402 4.434 5.021
0.749 0.929 1.129
1.595 1.619 2.072
1.096 1.311 1.540
1.514 1.537 1.984
1.392 1.637 1.884
2.489 2.774 3.054
1.083 1.103 1.504
6.029 6.372 6.695
6.123 6.465 6.787
6.807 6.838 7.404
4.448 4.771 5.097
4.491 4.814 5.142
1.359 1.382 1.809
2.055 2.317 2.586
2.293 2.562 2.837
1.576 1.831 2.086
2.909 3.205 3.497
5.418 5.451 6.043
1.131 1.152 1.559
1.724 1.975 2.235
1.598 1.843 2.098
0.604 0.620 0.928
2.307 2.334 2.821
3.421 3.720 4.027
1.674 1.923 2.181
0.362 0.484 0.628
0.348 0.473 0.616
0.942 0.961 1.341
0.388 0.516 0.665
1.173 1.404 1.638
2.226 2.253 2.736
2.118 2.395 2.665
0.654 0.670 0.994
1.995 2.268 2.535
1.152 1.174 1.578
2.057 2.319 2.588
2.126 2.390 2.661
2.143 2.408 2.679
1.095 1.115 1.518
1.334 1.564 1.808
0.473 0.615 0.779
2.840 3.135 3.425
2.191 2.470 2.742
0.521 0.535 0.822
1.030 1.050 1.444
2.693 2.971 3.256
2.733 3.024 3.311
3.499 3.814 4.123
2.065 2.091 2.568
3.388 3.686 3.992
4.845 5.173 5.503
6.122 6.154 6.744
4.530 4.868 5.195
1.841 1.866 2.337
0.790 0.983 1.188
5.110 5.142 5.741
4.879 4.912 5.508
4.863 4.895 5.492
0.542 0.703 0.877
4.570 4.602 5.193
4.396 4.718 5.044
0.991 1.207 1.430
0 0.390 9.017
0.771 0.954 1.156
3.526 3.842 4.152
4.398 4.735 5.061
3.980 4.011 4.585
2.210 2.476 2.749
1.318 1.549 1.791
2.871 3.153 3.444
3.746 3.776 4.341
4.978 5.010 5.608
4.821 5.148 5.478
5.175 5.208 5.800
5.570 5.916 6.245
4.795 5.137 5.466
5.106 5.139 5.738
3.475 3.504 4.056
